"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
7475.0,1201.0,1808.0,2156.0,2408.0,2649.0,2880.0
7525.0,1208.0,1818.0,2168.0,2422.0,2664.0,2896.0
7575.0,1215.0,1829.0,2181.0,2436.0,2679.0,2912.0
7625.0,1221.0,1839.0,2193.0,2449.0,2694.0,2929.0
7675.0,1228.0,1849.0,2205.0,2463.0,2709.0,2945.0
7725.0,1235.0,1859.0,2217.0,2477.0,2725.0,2962.0
7775.0,1241.0,1869.0,2230.0,2491.0,2740.0,2978.0
7825.0,1248.0,1878.0,2241.0,2503.0,2753.0,2992.0
7875.0,1252.0,1885.0,2248.0,2511.0,2762.0,3002.0
7925.0,1257.0,1891.0,2255.0,2519.0,2770.0,3011.0
7975.0,1261.0,1898.0,2262.0,2526.0,2779.0,3021.0
8025.0,1266.0,1904.0,2269.0,2534.0,2788.0,3030.0
8075.0,1271.0,1911.0,2276.0,2542.0,2796.0,3040.0
8125.0,1275.0,1917.0,2283.0,2550.0,2805.0,3049.0
8175.0,1280.0,1924.0,2290.0,2558.0,2814.0,3059.0
8225.0,1285.0,1930.0,2297.0,2566.0,2823.0,3068.0
8275.0,1289.0,1937.0,2304.0,2574.0,2831.0,3078.0
8325.0,1294.0,1943.0,2311.0,2582.0,2840.0,3087.0
8375.0,1299.0,1950.0,2318.0,2590.0,2849.0,3097.0
8425.0,1303.0,1956.0,2326.0,2598.0,2857.0,3106.0
8475.0,1308.0,1963.0,2333.0,2606.0,2866.0,3116.0
8525.0,1312.0,1969.0,2340.0,2614.0,2876.0,3126.0
8575.0,1317.0,1976.0,2348.0,2623.0,2885.0,3136.0
8625.0,1322.0,1983.0,2356.0,2632.0,2895.0,3147.0
8675.0,1326.0,1990.0,2364.0,2640.0,2904.0,3157.0
8725.0,1331.0,1996.0,2372.0,2649.0,2914.0,3168.0
8775.0,1336.0,2003.0,2379.0,2658.0,2924.0,3178.0
8825.0,1340.0,2010.0,2387.0,2667.0,2933.0,3188.0
8875.0,1345.0,2017.0,2395.0,2675.0,2943.0,3199.0
8925.0,1350.0,2024.0,2403.0,2684.0,2952.0,3209.0
8975.0,1354.0,2030.0,2411.0,2693.0,2962.0,3220.0
9025.0,1359.0,2037.0,2419.0,2702.0,2972.0,3230.0
9075.0,1364.0,2044.0,2426.0,2710.0,2981.0,3241.0
9125.0,1368.0,2051.0,2434.0,2719.0,2991.0,3251.0
9175.0,1373.0,2057.0,2442.0,2728.0,3001.0,3262.0
9225.0,1378.0,2064.0,2450.0,2736.0,3010.0,3272.0
9275.0,1382.0,2071.0,2458.0,2745.0,3020.0,3282.0
9325.0,1387.0,2078.0,2465.0,2754.0,3029.0,3293.0
9375.0,1392.0,2085.0,2473.0,2763.0,3039.0,3303.0
9425.0,1396.0,2092.0,2483.0,2773.0,3051.0,3316.0
